air_date,weekday,start_hhmm,time_slot,channel,channel_type,brand,product_name,category,price,url
2026-08-19,수,03:25,새벽 03-06,CJ온스타일,TV홈쇼핑,아멜리아,"[백화점가 259,000원] 아멜리아 더블지퍼백",기타,189000,https://display.cjonstyle.com/m/item/2091144174?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&channelCode=30002002&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:25,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,No brand names found.,○26 NEW시그니처 이태리 램스킨 볼륨자켓,패션의류,219000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919324&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:25,새벽 03-06,CJ온스타일,TV홈쇼핑,락포트,[미리주문10%][공식정품] NEW 새틴 메리제인 스니커즈,패션잡화,149000,https://display.cjonstyle.com/m/item/2089145922?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:27,새벽 03-06,W쇼핑,T커머스,데이즈온,오한진 프리바이오틱스 트리플12개월분 +1개월분 (총 13개월분),건강기능식품,338000,https://m.w-shopping.co.kr/display/goods/23994511?mediaCode=MC56&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:27,새벽 03-06,W쇼핑,T커머스,No brand names found.,시청자 정보(살림의한수),기타,,https://m.w-shopping.co.kr/display/goods/10003589?mediaCode=MC56&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:27,새벽 03-06,GS샵,TV홈쇼핑,브루마스,브루마스 26FW 최신상 울 워킹화 여성 (울98%),기타,59800,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1133072227&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:29,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,닌자,●닌자 디텍트 파워 블렌더 프로 키친 시스템(TB401KR),가전,499000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919582&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:30,새벽 03-06,현대홈쇼핑,TV홈쇼핑,이알하나,[이알하나] 이알하나 면역 LF300 6박스(24주분),기타,298000,https://www.hmall.com/md/pda/itemPtc?utm_source=homemoatv&utm_medium=cps&utm_campaign=sale&ReferCode=dm1&slitmCd=2252475270
2026-08-19,수,03:30,새벽 03-06,GS샵,TV홈쇼핑,LIENO,[장윤정 PICK] 리에노 카멜리아 에어앰플미스트 기본구성,뷰티,88000,https://m.gsshop.com/alia/aliaGate.gs?media=LUz&gourl=/prd/prd.gs?prdid=1118141047&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-19,수,03:30,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,알뜰,알뜰 못난이 보조개 초록사과 3kg,식품,19900,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12915233&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:30,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],블라우풍트 스마트워치[BLP-SW331]+ 톰슨 이어폰,디지털,79000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171633&chl_dtl_no=2584697&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12906036&hsmoa_userid=&hsmoa_code=moa
2026-08-19,수,03:30,새벽 03-06,GS샵,TV홈쇼핑,스테파넬,"스테파넬 26SS 에어리 나일론 하프셔츠2종+이너탑[런칭 가격79,900원]",패션의류,59900,https://m.gsshop.com/alia/aliaGate.gs?media=LUz&gourl=/prd/prd.gs?prdid=1104437304&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
